NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
04544204,1,48,0,2021,2020,0,.15300,.15300,1,.22000,.22000,10,D,.00000,.00000,70497,D,0,D,0,D,0,D,0,D,0,D,0,D,2000,D,0,D,0,D,0,D,0,D,0,D,5820,D,8534,0,8571,8497,0,0,10786,10786,70497,70497,0,0,0,0,0,0,0,0,0,0,70497,70497,0,0,8571,8497,8571,8497,0,0,0,0,0,0,0,0,0,0,0
04544214,1,54,56,2021,2020,1,.15300,.15300,2,.24000,.24000,21,D,.05250,.05500,120000,D,85000,D,0,D,0,D,0,D,0,D,27000,D,0,D,372,D,0,D,0,D,1,D,1,D,0,D,35649,10962,35743,35554,10978,10947,31365,31365,231400,231400,230200,224556,2000,2000,0,2000,0,0,0,0,231400,231400,0,0,37743,37554,37743,37554,4650,4650,0,0,0,0,0,0,0,0,0
04544214,2,87,0,2021,2020,0,.15300,.15300,1,.24000,.24000,21,D,.04750,.04750,0,D,0,D,0,D,120988,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,19698,3866,19745,19651,3889,3843,0,0,120988,120988,87888,84937,0,0,0,0,0,0,0,0,120988,120988,0,0,19745,19651,19745,19651,2300,2300,0,0,0,0,0,0,0,0,0
04544244,1,53,56,2021,2020,6,.15300,.15300,2,.27000,.22000,22,D,.05000,.05000,68000,D,100001,D,0,D,0,D,0,D,0,D,0,D,6000,D,0,D,0,D,2,D,2,D,2,D,3600,D,19366,7677,19694,19039,7693,7661,25704,25704,179865,179865,168001,163903,6000,6507,0,6507,0,0,0,0,179865,179865,0,0,25694,25545,25694,25545,0,0,0,0,0,0,0,0,0,0,0
04544264,1,25,0,2021,2020,1,.15300,.15300,1,.12000,.12000,01,D,.04020,.04030,33526,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,279,D,0,D,0,D,0,D,0,D,0,D,993,1268,1003,983,1271,1264,5129,5129,33526,33526,33526,32708,500,500,0,500,0,0,0,0,33526,33526,0,0,1503,1483,1503,1483,2000,2083,2844,2774,0,0,0,0,0,0,0
04544304,1,65,54,2021,2020,0,.15300,.15300,2,.22000,.22000,34,D,.05250,.05250,0,D,180000,D,0,D,7032,D,21012,D,0,D,0,D,7074,D,0,D,0,D,0,D,0,D,0,D,2168,D,27161,7798,27235,27086,7812,7784,22295,22816,188168,188168,170308,166154,0,0,0,0,0,0,0,0,188168,188168,0,0,27235,27086,27235,27086,21500,21500,9242,9017,0,0,0,0,0,0,0
04544344,1,71,69,2021,2020,2,.15300,.15300,2,.00000,.00000,10,D,.00000,.00000,0,D,0,D,0,D,0,D,43670,D,0,D,0,D,1600,D,229,D,0,D,0,D,0,D,0,D,0,D,-500,0,0,-1000,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04544354,1,48,46,2021,2020,3,.03800,.03800,2,.32000,.32000,10,D,.00000,.00000,334100,D,57403,D,6275,D,0,D,0,D,0,D,0,D,19247,D,0,D,0,D,0,D,1,D,2,D,5304,D,78459,0,78696,78223,0,0,36820,37341,398013,398013,0,0,3000,3000,0,3000,0,0,0,0,398013,398013,0,0,81459,80986,81459,80986,0,0,0,0,0,0,0,0,0,0,0
04544354,2,17,0,2021,2020,0,.15300,.15300,8,.00000,.00000,10,D,.00000,.00000,5508,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,843,843,5508,5508,0,0,0,0,0,0,0,0,0,0,5508,5508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04544364,1,54,55,2021,2020,1,.15300,.15300,2,.12000,.12000,0,T,.00000,.00000,9240,D,88000,D,0,D,0,D,0,D,0,D,0,D,3000,D,1020,D,0,D,0,D,1,D,1,D,1840,D,5782,0,6302,5263,0,0,14878,14878,97271,97271,0,0,2000,3000,0,3000,0,0,0,0,97271,97271,0,0,8302,8263,8302,8263,0,0,0,0,0,0,0,0,0,0,0
04544394,1,69,69,2021,2020,1,.15300,.15300,2,.22000,.22000,05,D,.08690,.08690,0,D,0,D,0,D,120988,D,0,D,0,D,0,D,8000,D,92,D,0,D,0,D,0,D,0,D,5600,D,11595,3554,11669,11520,3623,3484,0,0,120988,120988,120988,118037,500,500,0,500,0,0,0,0,120988,120988,0,0,12169,12020,12169,12020,9202,9202,11987,11829,0,0,0,0,0,0,0
04544404,1,59,0,2021,2020,0,.15300,.15300,1,.12000,.12000,02,D,.00000,.00000,47000,D,0,D,0,D,0,D,0,D,0,D,0,D,2500,D,0,D,0,D,0,D,0,D,0,D,0,D,3692,0,3702,3683,0,0,7191,7191,44896,44896,0,0,0,0,0,0,0,0,0,0,44896,44896,0,0,3702,3683,3702,3683,0,0,0,0,0,0,0,0,0,0,0
